,complex_FB15k,complex_WN18,complex_FB15k-237,complex_WN18RR,conve_FB15k,conve_WN18,conve_FB15k-237,conve_WN18RR,transe_FB15k,transe_WN18,transe_FB15k-237,transe_WN18RR
data_poisoning,0.451,0.729,0.187,0.668,0.14,0.728,0.058,0.785,0.157,0.864,0.141,0.613
criage,0.045,0.058,0.051,0.163,0.024,0.157,0.031,0.15,0.0,0.0,0.0,0.0
k1,0.457,0.491,0.238,0.483,0.123,0.514,0.076,0.578,0.075,0.7,0.115,0.664
kelpie,0.632,0.777,0.434,0.891,0.391,0.795,0.143,0.919,0.203,0.805,0.199,0.893
eXpath,0.613,0.827,0.368,0.844,0.234,0.864,0.275,0.923,0.146,0.776,0.142,0.711
data_poisoning+eXpath,0.635,0.844,0.411,0.848,0.3,0.891,0.311,0.927,0.253,0.922,0.273,0.851
criage+eXpath,0.616,0.827,0.377,0.852,0.27,0.868,0.323,0.927,0.0,0.0,0.0,0.0
k1+eXpath,0.638,0.832,0.434,0.851,0.303,0.877,0.31,0.933,0.236,0.873,0.276,0.88
kelpie+eXpath,0.696,0.885,0.504,0.928,0.453,0.907,0.339,0.957,0.31,0.902,0.31,0.947
eXpath(subset),0.729,0.861,0.557,0.914,0.507,0.882,0.544,0.965,0.462,0.898,0.531,0.989
data_poisoning(subset),0.517,0.76,0.229,0.723,0.245,0.744,0.14,0.821,0.371,0.901,0.323,0.699
data_poisoning+eXpath(subset),0.734,0.88,0.566,0.918,0.548,0.906,0.549,0.969,0.529,0.962,0.577,0.995
criage(subset),0.054,0.06,0.072,0.174,0.09,0.162,0.042,0.16,,,,
criage+eXpath(subset),0.729,0.861,0.557,0.918,0.52,0.886,0.548,0.965,,,,
k1(subset),0.527,0.512,0.276,0.519,0.186,0.521,0.161,0.594,0.163,0.746,0.263,0.734
k1+eXpath(subset),0.742,0.867,0.57,0.918,0.526,0.891,0.547,0.966,0.508,0.946,0.578,0.996
kelpie(subset),0.696,0.792,0.508,0.918,0.489,0.807,0.222,0.937,0.319,0.835,0.398,0.931
kelpie+eXpath(subset),0.772,0.904,0.613,0.958,0.617,0.92,0.558,0.977,0.525,0.947,0.601,0.997
