,complex_FB15k,complex_WN18,complex_FB15k-237,complex_WN18RR,conve_FB15k,conve_WN18,conve_FB15k-237,conve_WN18RR,transe_FB15k,transe_WN18,transe_FB15k-237,transe_WN18RR
data_poisoning,0.432,0.741,0.19,0.647,0.112,0.712,0.018,0.773,0.191,0.856,0.145,0.544
criage,0.009,0.044,0.043,0.126,0.001,0.127,0.028,0.095,0.0,0.0,0.0,0.0
k1,0.466,0.53,0.246,0.532,0.129,0.569,0.056,0.634,0.12,0.703,0.107,0.632
kelpie,0.652,0.826,0.419,0.911,0.391,0.857,0.152,0.922,0.249,0.849,0.19,0.864
eXpath,0.613,0.841,0.327,0.818,0.216,0.856,0.257,0.909,0.165,0.777,0.122,0.716
data_poisoning+eXpath,0.616,0.85,0.382,0.826,0.272,0.891,0.29,0.916,0.273,0.923,0.239,0.823
criage+eXpath,0.613,0.842,0.337,0.823,0.248,0.863,0.301,0.918,0.0,0.0,0.0,0.0
k1+eXpath,0.635,0.85,0.412,0.832,0.287,0.881,0.29,0.928,0.256,0.879,0.248,0.863
kelpie+eXpath,0.708,0.927,0.468,0.93,0.449,0.933,0.336,0.958,0.34,0.925,0.299,0.935
eXpath(subset),0.744,0.876,0.564,0.891,0.487,0.87,0.521,0.965,0.487,0.902,0.485,0.985
data_poisoning(subset),0.525,0.772,0.25,0.705,0.22,0.726,0.057,0.822,0.385,0.905,0.336,0.646
data_poisoning+eXpath(subset),0.748,0.885,0.581,0.9,0.548,0.899,0.525,0.972,0.548,0.982,0.537,0.994
criage(subset),0.014,0.045,0.057,0.137,0.038,0.133,0.013,0.104,,,,
criage+eXpath(subset),0.744,0.877,0.564,0.896,0.501,0.878,0.527,0.965,,,,
k1(subset),0.559,0.552,0.297,0.574,0.223,0.571,0.115,0.656,0.205,0.762,0.232,0.7
k1+eXpath(subset),0.764,0.886,0.584,0.901,0.509,0.887,0.525,0.966,0.525,0.966,0.542,0.994
kelpie(subset),0.736,0.84,0.542,0.928,0.504,0.863,0.185,0.946,0.363,0.891,0.367,0.91
kelpie+eXpath(subset),0.805,0.944,0.626,0.949,0.633,0.938,0.539,0.984,0.557,0.98,0.595,0.996
