,facts,length,base,approx,truth,eps
0,"[['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/06mkj']]",1,0.8522601,-0.004563,-0.078553975,0.9419125504791737
1,"[['/m/06mkj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/0f8l9c']]",1,0.8522601,-0.014862,0.11221093,1.132446989417076
2,"[['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/06mkj'], ['/m/06mkj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/0f8l9c']]",2,0.8522601,-0.007503,0.13436729,1.0558394864201546
3,"[['/m/0mwk9', 'INVERSE_/location/location/contains', '/m/05tbn']]",1,0.6224535,0.041108,0.2150529,0.8088470250368118
4,"[['/m/05tbn', '/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency', '/m/09nqf']]",1,0.6224535,0.03606,-0.28516746,1.1264520287513733
5,"[['/m/0mwk9', 'INVERSE_/location/location/contains', '/m/05tbn'], ['/m/05tbn', '/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency', '/m/09nqf']]",2,0.6224535,0.043012,-0.3379414,1.1272765100002289
6,"[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565']]",1,0.6224535,0.01849,-0.3009147,1.0614459812641144
7,"[['/m/09c7w0', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",1,0.6224535,0.071908,0.088692844,0.18924689292907715
8,"[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565'], ['/m/0_565', 'INVERSE_/location/location/contains', '/m/09c7w0'], ['/m/09c7w0', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",3,0.6224535,0.020866,-0.24612069,1.0847795382142067
9,"[['/m/0mwk9', '/location/location/contains', '/m/0_565']]",1,0.6224535,0.003632,-0.29727155,1.012217785231769
10,"[['/m/08mbj5d', 'INVERSE_/common/topic/webpage./common/webpage/category', '/m/09nqf']]",1,0.6224535,0.019526,-0.25333452,1.0770759508013725
11,"[['/m/0mwk9', '/location/location/contains', '/m/0_565'], ['/m/0_565', '/common/topic/webpage./common/webpage/category', '/m/08mbj5d'], ['/m/08mbj5d', 'INVERSE_/common/topic/webpage./common/webpage/category', '/m/09nqf']]",3,0.6224535,0.00525,-0.2634834,1.0199253540486097
12,"[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565']]",1,0.6224535,0.002103,-0.22993165,1.0091461958363652
13,"[['/m/08mbj5d', 'INVERSE_/common/topic/webpage./common/webpage/category', '/m/09nqf']]",1,0.6224535,0.034922,-0.37282038,1.0936697721481323
14,"[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565'], ['/m/0_565', '/common/topic/webpage./common/webpage/category', '/m/08mbj5d'], ['/m/08mbj5d', 'INVERSE_/common/topic/webpage./common/webpage/category', '/m/09nqf']]",3,0.6224535,0.004223,-0.36145097,1.0116834649816155
15,"[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565']]",1,0.6224535,-0.004737,-0.35219353,0.9865500088781118
16,"[['/m/09c7w0', '/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency', '/m/09nqf']]",1,0.6224535,0.0209,-0.30725354,1.06802199780941
17,"[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565'], ['/m/0_565', 'INVERSE_/location/location/contains', '/m/09c7w0'], ['/m/09c7w0', '/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency', '/m/09nqf']]",3,0.6224535,-0.005095,0.07178432,1.0709765031933784
18,"[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/09c7w0']]",1,0.90972906,0.064128,0.49452683,0.8703245371580124
19,"[['/m/09c7w0', 'INVERSE_/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to', '/m/07ssc']]",1,0.90972906,0.100326,0.4388219,0.7713742256164551
20,"[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/09c7w0'], ['/m/09c7w0', 'INVERSE_/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to', '/m/07ssc']]",2,0.90972906,0.063864,0.29033273,0.7800316959619522
21,"[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ctw_b']]",1,0.90972906,0.012594,0.1597712,0.9211747795343399
22,"[['/m/0ctw_b', 'INVERSE_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants', '/m/07ssc']]",1,0.90972906,-0.001516,0.67334276,1.0022514536976814
23,"[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ctw_b'], ['/m/0ctw_b', 'INVERSE_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants', '/m/07ssc']]",2,0.90972906,0.018491,0.4348961,0.9574818015098572
24,"[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ctw_b']]",1,0.90972906,0.000325,0.3481266,0.9990664315409958
25,"[['/m/0ctw_b', '/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to', '/m/07ssc']]",1,0.90972906,-0.02961,0.15501875,1.1910091638565063
26,"[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ctw_b'], ['/m/0ctw_b', '/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to', '/m/07ssc']]",2,0.90972906,0.012235,0.371898,0.9671011939644814
27,"[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/059j2']]",1,0.90972906,-0.028212,0.36750323,1.0767666697502136
28,"[['/m/059j2', '/military/military_combatant/military_conflicts./military/military_combatant_group/combatants', '/m/07ssc']]",1,0.90972906,-0.061908,0.33268517,1.1860858350992203
29,"[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/059j2'], ['/m/059j2', '/military/military_combatant/military_conflicts./military/military_combatant_group/combatants', '/m/07ssc']]",2,0.90972906,-0.03156,0.37318116,1.0845701843500137
30,"[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0jgd']]",1,0.87752753,0.0491,0.084867716,0.42145252227783203
31,"[['/m/0jgd', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",1,0.87752753,0.052016,0.16753858,0.689528226852417
32,"[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0jgd'], ['/m/0jgd', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",2,0.87752753,0.048155,0.30462885,0.841922402381897
33,"[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0jgd']]",1,0.87752753,0.043997,0.057583034,0.23593813180923462
34,"[['/m/0jgd', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",1,0.87752753,0.040424,0.27363837,0.8522721827030182
35,"[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0jgd'], ['/m/0jgd', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",2,0.87752753,0.044453,0.36543822,0.878357008099556
36,"[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ylj']]",1,0.87752753,0.037323,0.14826661,0.7482710182666779
37,"[['/m/07ylj', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",1,0.87752753,0.03825,0.028687239,0.3333454132080078
38,"[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ylj'], ['/m/07ylj', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",2,0.87752753,0.038554,0.18373138,0.7901610434055328
39,"[['/m/09v71cj', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf']]",1,0.87752753,0.022352,0.47639066,0.9530805237591267
40,"[['/m/09nqf', 'INVERSE_/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/015fr']]",1,0.87752753,0.024341,0.07366675,0.6695795655250549
