,explain,facts,length,origin,approx,truth
0,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/06mkj']]",1,0.9493519,0.007151,0.117587626
1,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/06mkj', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/0f8l9c']]",1,0.9493519,0.075343,0.1553641
2,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/06mkj'], ['/m/06mkj', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/0f8l9c']]",2,0.9493519,0.004612,0.128743
3,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/03rjj']]",1,0.9493519,0.00332,0.12287325
4,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/03rjj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/0f8l9c']]",1,0.9493519,0.065124,0.013676703
5,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/03rjj'], ['/m/03rjj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/0f8l9c']]",2,0.9493519,0.000625,0.13409573
6,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/06mkj']]",1,0.9493519,-0.000703,0.14960563
7,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/06mkj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/0f8l9c']]",1,0.9493519,0.03596,0.062796175
8,"['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0f8l9c']","[['/m/09v3jyg', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/06mkj'], ['/m/06mkj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/0f8l9c']]",2,0.9493519,-0.001237,0.08125371
9,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565']]",1,0.9951925,0.077529,0.0032513142
